"","samples","ID","sample_ID_simplified","sample_ID_extended","class","pch","col"
"601","Sample_0736","18BL159","Breeding line","Itasca-C12GWDCO6","Breeding line","16","grey"
"602","Sample_0737","18BL167","Breeding line","ItascaC12IMLS7","Breeding line","16","grey"
"603","Sample_0738","18BL175","Breeding line","ItascaC12DUR","Breeding line","16","grey"
"604","Sample_0739","18BL187","Breeding line","FYC20Gun91N","Breeding line","16","grey"
"605","Sample_0740","18BL203","Breeding line","Barron","Breeding line","16","grey"
"606","Sample_0741","18BL211","Breeding line","Barron","Breeding line","16","grey"
"607","Sample_0742","18BL219","Breeding line","PM3E-C24","Breeding line","16","grey"
"608","Sample_0743","18BL227","Breeding line","14S*PS-C3","Breeding line","16","grey"
"609","Sample_0744","18BL235","Breeding line","FYC20IMLO2","Breeding line","16","grey"
"610","Sample_0745","18BL152","Breeding line","Barron-GWMR","Breeding line","16","grey"
"611","Sample_0746","18BL160","Breeding line","ItascaC12IMLPG3","Breeding line","16","grey"
"612","Sample_0747","18BL168","Breeding line","FY-C20","Breeding line","16","grey"
"613","Sample_0748","18BL176","Breeding line","ItascaC12DUR","Breeding line","16","grey"
"614","Sample_0749","18BL188","Breeding line","FYC20Gun91N","Breeding line","16","grey"
"615","Sample_0750","18BL196","Breeding line","K2EFBP-C1","Breeding line","16","grey"
"616","Sample_0751","18BL204","Breeding line","Barron","Breeding line","16","grey"
"617","Sample_0752","18BL212","Breeding line","GPB/K2B-C2","Breeding line","16","grey"
"618","Sample_0753","18BL220","Breeding line","PM3E-C24","Breeding line","16","grey"
"619","Sample_0754","18BL228","Breeding line","14S*PS-C3","Breeding line","16","grey"
"620","Sample_0755","18BL236","Breeding line","FYC20IMLO2","Breeding line","16","grey"
"621","Sample_0756","18BL153","Breeding line","Barron-GWMR","Breeding line","16","grey"
"622","Sample_0757","18BL161","Breeding line","ItascaC12IMLPG3","Breeding line","16","grey"
"623","Sample_0758","18BL169","Breeding line","FY-C20","Breeding line","16","grey"
"624","Sample_0759","18BL177","Breeding line","ItascaC12DUR","Breeding line","16","grey"
"625","Sample_0760","18BL197","Breeding line","K2EFBP-C1","Breeding line","16","grey"
"626","Sample_0761","18BL205","Breeding line","Barron","Breeding line","16","grey"
"627","Sample_0762","18BL213","Breeding line","PM3/3*PBM-C3","Breeding line","16","grey"
"628","Sample_0763","18BL221","Breeding line","PM3E-C24","Breeding line","16","grey"
"629","Sample_0764","18BL229","Breeding line","14S*PS-C3","Breeding line","16","grey"
"630","Sample_0765","18BL162","Breeding line","ItascaC12IMLPG3","Breeding line","16","grey"
"631","Sample_0766","18BL170","Breeding line","Itasca-C12","Breeding line","16","grey"
"632","Sample_0767","18BL178","Breeding line","ItascaC12DUR","Breeding line","16","grey"
"633","Sample_0768","18BL198","Breeding line","K2EFBP-C1","Breeding line","16","grey"
"634","Sample_0769","18BL206","Breeding line","Barron","Breeding line","16","grey"
"635","Sample_0770","18BL214","Breeding line","PM3/3*PBM-C3","Breeding line","16","grey"
"636","Sample_0771","18BL222","Breeding line","PM3E-C24","Breeding line","16","grey"
"637","Sample_0772","18BL230","Breeding line","14S*PS-C3","Breeding line","16","grey"
"638","Sample_0773","18BL155","Breeding line","Itasca-C12GWK2","Breeding line","16","grey"
"639","Sample_0774","18BL163","Breeding line","BarronIMLQ15","Breeding line","16","grey"
"640","Sample_0775","18BL171","Breeding line","Itasca-C12","Breeding line","16","grey"
"641","Sample_0776","18BL179","Breeding line","Barron","Breeding line","16","grey"
"642","Sample_0777","18BL183","Breeding line","Barron-Gun91S","Breeding line","16","grey"
"643","Sample_0778","18BL191","Breeding line","FYC20Gun27A","Breeding line","16","grey"
"644","Sample_0779","18BL199","Breeding line","K2EFBP-C1","Breeding line","16","grey"
"645","Sample_0780","18BL207","Breeding line","Barron","Breeding line","16","grey"
"646","Sample_0781","18BL215","Breeding line","GPN-1.20","Breeding line","16","grey"
"647","Sample_0782","18BL223","Breeding line","PM3E-C24","Breeding line","16","grey"
"648","Sample_0783","18BL231","Breeding line","14S*PS-C3","Breeding line","16","grey"
"649","Sample_0784","18BL156","Breeding line","Itasca-C12GWK2","Breeding line","16","grey"
"650","Sample_0785","18BL164","Breeding line","BarronIMLQ15","Breeding line","16","grey"
"651","Sample_0786","18BL172","Breeding line","Itasca-C12","Breeding line","16","grey"
"652","Sample_0787","18BL180","Breeding line","Barron","Breeding line","16","grey"
"653","Sample_0788","18BL192","Breeding line","FYC20Gun27A","Breeding line","16","grey"
"654","Sample_0789","18BL200","Breeding line","Barron","Breeding line","16","grey"
"655","Sample_0790","18BL208","Breeding line","Barron","Breeding line","16","grey"
"656","Sample_0791","18BL216","Breeding line","GPN-1.20","Breeding line","16","grey"
"657","Sample_0792","18BL224","Breeding line","PM3E-C24","Breeding line","16","grey"
"658","Sample_0793","18BL232","Breeding line","PM3/7*K2EF","Breeding line","16","grey"
"659","Sample_0794","18BL157","Breeding line","Itasca-C12GWK2","Breeding line","16","grey"
"660","Sample_0795","18BL165","Breeding line","ItascaC12IMLS7","Breeding line","16","grey"
"661","Sample_0796","18BL173","Breeding line","Itasca-C12","Breeding line","16","grey"
"662","Sample_0797","18BL181","Breeding line","Barron-Gun91S","Breeding line","16","grey"
"663","Sample_0798","18BL193","Breeding line","FYC20Gun27A","Breeding line","16","grey"
"664","Sample_0799","18BL201","Breeding line","Barron","Breeding line","16","grey"
"665","Sample_0800","18BL209","Breeding line","Barron","Breeding line","16","grey"
"666","Sample_0801","18BL217","Breeding line","GPP-1.20","Breeding line","16","grey"
"667","Sample_0802","18BL225","Breeding line","PM3E-C24","Breeding line","16","grey"
"668","Sample_0803","18BL233","Breeding line","VE/2*14WS/*4K2EF","Breeding line","16","grey"
"669","Sample_0804","18BL166","Breeding line","ItascaC12IMLS7","Breeding line","16","grey"
"670","Sample_0805","18BL174","Breeding line","Itasca-C12","Breeding line","16","grey"
"671","Sample_0806","18BL182","Breeding line","Barron-Gun91S","Breeding line","16","grey"
"672","Sample_0807","18BL186","Breeding line","FYC20Gun91N","Breeding line","16","grey"
"673","Sample_0808","18BL202","Breeding line","Barron","Breeding line","16","grey"
"674","Sample_0809","18BL210","Breeding line","Barron","Breeding line","16","grey"
"675","Sample_0810","18BL218","Breeding line","GPP-1.20","Breeding line","16","grey"
"676","Sample_0811","18BL226","Breeding line","PM3E-C24","Breeding line","16","grey"
"677","Sample_0812","18BL234","Breeding line","FYC20IMLO2","Breeding line","16","grey"
"678","Sample_0813","18BL242","Breeding line","FY-C20 (BS)","Breeding line","16","grey"
"679","Sample_0814","18BL243","Breeding line","FY-C20 (BS)","Breeding line","16","grey"
"680","Sample_0817","18BL267","Breeding line","Itasca-C12GWDCO6","Breeding line","16","grey"
"681","Sample_0818","18BL275","Breeding line","FY-C20","Breeding line","16","grey"
"682","Sample_0819","18BL281","Breeding line","FY-C20","Breeding line","16","grey"
"683","Sample_0820","18BL289","Breeding line","PBML-C20","Breeding line","16","grey"
"684","Sample_0821","18BL297","Breeding line","Itasca-C12","Breeding line","16","grey"
"685","Sample_0822","18BL305","Breeding line","GPB/K2B-C2","Breeding line","16","grey"
"686","Sample_0823","18BL313","Breeding line","GPP-1.20","Breeding line","16","grey"
"687","Sample_0824","18BL321","Breeding line","PM3E-C24","Breeding line","16","grey"
"688","Sample_0825","18BL329","Breeding line","PM3/7*K2EF","Breeding line","16","grey"
"689","Sample_0826","18BL244","Breeding line","FY-C20 (BS)","Breeding line","16","grey"
"690","Sample_0829","18BL268","Breeding line","Itasca-C12GWDCO6","Breeding line","16","grey"
"691","Sample_0830","18BL276","Breeding line","FY-C20","Breeding line","16","grey"
"692","Sample_0831","18BL282","Breeding line","FY-C20","Breeding line","16","grey"
"693","Sample_0832","18BL290","Breeding line","PBML-C20","Breeding line","16","grey"
"694","Sample_0833","18BL298","Breeding line","Barron","Breeding line","16","grey"
"695","Sample_0834","18BL306","Breeding line","PM3/3*PBM-C3","Breeding line","16","grey"
"696","Sample_0835","18BL314","Breeding line","PM3E-C24","Breeding line","16","grey"
"697","Sample_0836","18BL322","Breeding line","PM3E-C24","Breeding line","16","grey"
"698","Sample_0837","18BL330","Breeding line","unknown","Breeding line","16","grey"
"699","Sample_0838","18BL245","Breeding line","FY-C20 (BS)","Breeding line","16","grey"
"700","Sample_0840","18BL277","Breeding line","FY-C20","Breeding line","16","grey"
"701","Sample_0841","18BL283","Breeding line","FY-C20","Breeding line","16","grey"
"702","Sample_0842","18BL291","Breeding line","PBML-C20","Breeding line","16","grey"
"703","Sample_0843","18BL299","Breeding line","Barron","Breeding line","16","grey"
"704","Sample_0844","18BL307","Breeding line","PM3/3*PBM-C3","Breeding line","16","grey"
"705","Sample_0845","18BL315","Breeding line","PM3E-C24","Breeding line","16","grey"
"706","Sample_0846","18BL323","Breeding line","14PD-C10","Breeding line","16","grey"
"707","Sample_0847","18BL331","Breeding line","VE/2*14WS/*4K2EF","Breeding line","16","grey"
"708","Sample_0848","18BL246","Breeding line","FY-C20 (BS)","Breeding line","16","grey"
"709","Sample_0850","18BL278","Breeding line","FY-C20","Breeding line","16","grey"
"710","Sample_0851","18BL284","Breeding line","FY-C20","Breeding line","16","grey"
"711","Sample_0852","18BL292","Breeding line","PBML-C20","Breeding line","16","grey"
"712","Sample_0853","18BL300","Breeding line","Barron","Breeding line","16","grey"
"713","Sample_0854","18BL308","Breeding line","PM3/3*PBM-C3","Breeding line","16","grey"
"714","Sample_0855","18BL316","Breeding line","PM3E-C24","Breeding line","16","grey"
"715","Sample_0856","18BL324","Breeding line","14PD-C10","Breeding line","16","grey"
"716","Sample_0857","18BL332","Breeding line","FY-C20-6","Breeding line","16","grey"
"717","Sample_0858","18BL247","Breeding line","FY-C20 (BS)","Breeding line","16","grey"
"718","Sample_0860","18BL285","Breeding line","PBML-C20","Breeding line","16","grey"
"719","Sample_0861","18BL293","Breeding line","PBML-C20","Breeding line","16","grey"
"720","Sample_0862","18BL309","Breeding line","PM3/3*PBM-C3","Breeding line","16","grey"
"721","Sample_0863","18BL317","Breeding line","PM3E-C24","Breeding line","16","grey"
"722","Sample_0864","18BL325","Breeding line","14S*PM3/PBM-C3","Breeding line","16","grey"
"723","Sample_0865","18BL333","Breeding line","DV3-3","Breeding line","16","grey"
"724","Sample_0866","18BL248","Breeding line","FY-C20 (BS)","Breeding line","16","grey"
"725","Sample_0868","18BL286","Breeding line","PBML-C20","Breeding line","16","grey"
"726","Sample_0869","18BL294","Breeding line","PBML-C20","Breeding line","16","grey"
"727","Sample_0870","18BL310","Breeding line","GPP-1.20","Breeding line","16","grey"
"728","Sample_0871","18BL318","Breeding line","PM3E-C24","Breeding line","16","grey"
"729","Sample_0872","18BL326","Breeding line","14S*PM3/PBM-C3","Breeding line","16","grey"
"730","Sample_0873","18BL249","Breeding line","DV3-3","Breeding line","16","grey"
"731","Sample_0875","18BL279","Breeding line","FY-C20","Breeding line","16","grey"
"732","Sample_0876","18BL287","Breeding line","PBML-C20","Breeding line","16","grey"
"733","Sample_0877","18BL295","Breeding line","PBML-C20","Breeding line","16","grey"
"734","Sample_0878","18BL303","Breeding line","K2EFBP-C1","Breeding line","16","grey"
"735","Sample_0879","18BL311","Breeding line","GPP-1.20","Breeding line","16","grey"
"736","Sample_0880","18BL319","Breeding line","PM3E-C24","Breeding line","16","grey"
"737","Sample_0881","18BL327","Breeding line","14S*PM3/PBM-C3","Breeding line","16","grey"
"738","Sample_0882","18BL335","Breeding line","DV4-2","Breeding line","16","grey"
"739","Sample_0885","18BL266","Breeding line","DV3-3","Breeding line","16","grey"
"740","Sample_0886","18BL280","Breeding line","FY-C20","Breeding line","16","grey"
"741","Sample_0887","18BL288","Breeding line","PBML-C20","Breeding line","16","grey"
"742","Sample_0888","18BL296","Breeding line","Itasca-C12","Breeding line","16","grey"
"743","Sample_0889","18BL304","Breeding line","GPB/K2B-C2","Breeding line","16","grey"
"744","Sample_0890","18BL312","Breeding line","GPP-1.20","Breeding line","16","grey"
"745","Sample_0891","18BL320","Breeding line","PM3E-C24","Breeding line","16","grey"
"746","Sample_0892","18BL328","Breeding line","PM3/7*K2EF","Breeding line","16","grey"
"747","Sample_0893","18BL336","Breeding line","DV4-2","Breeding line","16","grey"
"748","Sample_0894","18BL393","Breeding line","K2EF-C16","Breeding line","16","grey"
"749","Sample_0895","18BL401","Breeding line","K2EF-C16","Breeding line","16","grey"
"750","Sample_0896","18BL409","Breeding line","K2EF-C16","Breeding line","16","grey"
"751","Sample_0897","18BL417","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"752","Sample_0898","18BL425","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"753","Sample_0899","18BL437","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"754","Sample_0900","18BL445","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"755","Sample_0901","18BL453","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"756","Sample_0902","18BL461","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"757","Sample_0903","18BL469","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"758","Sample_0904","18BL477","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"759","Sample_0905","18BL394","Breeding line","K2EF-C16","Breeding line","16","grey"
"760","Sample_0906","18BL402","Breeding line","K2EF-C16","Breeding line","16","grey"
"761","Sample_0907","18BL410","Breeding line","K2EF-C16","Breeding line","16","grey"
"762","Sample_0908","18BL418","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"763","Sample_0909","18BL426","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"764","Sample_0910","18BL438","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"765","Sample_0911","18BL446","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"766","Sample_0912","18BL454","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"767","Sample_0913","18BL462","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"768","Sample_0914","18BL470","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"769","Sample_0915","18BL478","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"770","Sample_0916","18BL395","Breeding line","K2EF-C16","Breeding line","16","grey"
"771","Sample_0917","18BL403","Breeding line","K2EF-C16","Breeding line","16","grey"
"772","Sample_0918","18BL411","Breeding line","K2EF-C16","Breeding line","16","grey"
"773","Sample_0919","18BL419","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"774","Sample_0920","18BL427","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"775","Sample_0921","18BL439","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"776","Sample_0922","18BL447","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"777","Sample_0923","18BL455","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"778","Sample_0924","18BL463","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"779","Sample_0925","18BL471","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"780","Sample_0926","18BL479","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"781","Sample_0927","18BL396","Breeding line","K2EF-C16","Breeding line","16","grey"
"782","Sample_0928","18BL404","Breeding line","K2EF-C16","Breeding line","16","grey"
"783","Sample_0929","18BL412","Breeding line","K2EF-C16","Breeding line","16","grey"
"784","Sample_0930","18BL420","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"785","Sample_0931","18BL428","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"786","Sample_0932","18BL440","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"787","Sample_0933","18BL448","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"788","Sample_0934","18BL456","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"789","Sample_0935","18BL464","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"790","Sample_0936","18BL472","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"791","Sample_0937","18BL480","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"792","Sample_0938","18BL397","Breeding line","K2EF-C16","Breeding line","16","grey"
"793","Sample_0939","18BL405","Breeding line","K2EF-C16","Breeding line","16","grey"
"794","Sample_0940","18BL413","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"795","Sample_0941","18BL421","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"796","Sample_0942","18BL429","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"797","Sample_0943","18BL433","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"798","Sample_0944","18BL441","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"799","Sample_0945","18BL449","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"800","Sample_0946","18BL457","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"801","Sample_0947","18BL465","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"802","Sample_0948","18BL473","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"803","Sample_0949","18BL481","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"804","Sample_0950","18BL398","Breeding line","K2EF-C16","Breeding line","16","grey"
"805","Sample_0951","18BL406","Breeding line","K2EF-C16","Breeding line","16","grey"
"806","Sample_0952","18BL414","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"807","Sample_0953","18BL422","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"808","Sample_0954","18BL430","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"809","Sample_0955","18BL434","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"810","Sample_0956","18BL442","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"811","Sample_0957","18BL450","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"812","Sample_0958","18BL458","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"813","Sample_0959","18BL466","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"814","Sample_0960","18BL474","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"815","Sample_0961","18BL482","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"816","Sample_0962","18BL399","Breeding line","K2EF-C16","Breeding line","16","grey"
"817","Sample_0963","18BL407","Breeding line","K2EF-C16","Breeding line","16","grey"
"818","Sample_0964","18BL415","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"819","Sample_0965","18BL423","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"820","Sample_0966","18BL431","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"821","Sample_0967","18BL435","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"822","Sample_0968","18BL443","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"823","Sample_0969","18BL451","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"824","Sample_0970","18BL459","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"825","Sample_0971","18BL467","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"826","Sample_0972","18BL475","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"827","Sample_0973","18BL483","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"828","Sample_0974","18BL400","Breeding line","K2EF-C16","Breeding line","16","grey"
"829","Sample_0975","18BL408","Breeding line","K2EF-C16","Breeding line","16","grey"
"830","Sample_0976","18BL416","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"831","Sample_0977","18BL424","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"832","Sample_0978","18BL432","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"833","Sample_0979","18BL436","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"834","Sample_0980","18BL444","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"835","Sample_0981","18BL452","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"836","Sample_0982","18BL460","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"837","Sample_0983","18BL468","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"838","Sample_0984","18BL476","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"839","Sample_0985","18BL484","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"840","Sample_0986","18BL485","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"841","Sample_0987","18BL493","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"842","Sample_0988","18BL501","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"843","Sample_0989","18BL509","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"844","Sample_0990","18BL517","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"845","Sample_0991","18NS571","Mud Hen Lake","Mud Hen Lake","Natural stand","18","green"
"846","Sample_0992","18NS575","Mud Hen Lake","Mud Hen Lake","Natural stand","18","green"
"847","Sample_0993","18DV001","Breeding line","DV","Breeding line","16","grey"
"848","Sample_0994","18DV009","Breeding line","DV","Breeding line","16","grey"
"849","Sample_0995","18BL486","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"850","Sample_0996","18BL494","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"851","Sample_0997","18BL502","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"852","Sample_0998","18BL510","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"853","Sample_0999","18BL518","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"854","Sample_1000","18NS572","Mud Hen Lake","Mud Hen Lake","Natural stand","18","green"
"855","Sample_1001","18NS576","Mud Hen Lake","Mud Hen Lake","Natural stand","18","green"
"856","Sample_1002","18DV002","Breeding line","DV","Breeding line","16","grey"
"857","Sample_1003","18DV010","Breeding line","DV","Breeding line","16","grey"
"858","Sample_1004","18BL487","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"859","Sample_1005","18BL495","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"860","Sample_1006","18BL503","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"861","Sample_1007","18BL511","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"862","Sample_1008","18BL519","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"863","Sample_1009","18NS573","Mud Hen Lake","Mud Hen Lake","Natural stand","18","green"
"864","Sample_1010","18NS577","Mud Hen Lake","Mud Hen Lake","Natural stand","18","green"
"865","Sample_1011","18DV003","Breeding line","DV","Breeding line","16","grey"
"866","Sample_1012","18BL488","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"867","Sample_1013","18BL496","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"868","Sample_1014","18BL504","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"869","Sample_1015","18BL512","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"870","Sample_1016","18BL520","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"871","Sample_1017","18NS574","Mud Hen Lake","Mud Hen Lake","Natural stand","18","green"
"872","Sample_1018","18NS578","Mud Hen Lake","Mud Hen Lake","Natural stand","18","green"
"873","Sample_1019","18DV004","Breeding line","DV","Breeding line","16","grey"
"874","Sample_1020","18BL489","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"875","Sample_1021","18BL497","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"876","Sample_1022","18BL505","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"877","Sample_1023","18BL513","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"878","Sample_1024","18BL521","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"879","Sample_1025","18NS579","Mud Hen Lake","Mud Hen Lake","Natural stand","18","green"
"880","Sample_1026","18DV005","Breeding line","DV","Breeding line","16","grey"
"881","Sample_1027","18BL490","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"882","Sample_1028","18BL498","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"883","Sample_1029","18BL506","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"884","Sample_1030","18BL514","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"885","Sample_1031","18BL522","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"886","Sample_1032","18NS580","Mud Hen Lake","Mud Hen Lake","Natural stand","18","green"
"887","Sample_1033","18DV006","Breeding line","DV","Breeding line","16","grey"
"888","Sample_1034","18BL491","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"889","Sample_1035","18BL499","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"890","Sample_1036","18BL507","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"891","Sample_1037","18BL515","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"892","Sample_1038","18BL523","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"893","Sample_1039","18BL524","Breeding line","ItascaHaploid","Breeding line","16","grey"
"894","Sample_1040","18DV007","Breeding line","DV","Breeding line","16","grey"
"895","Sample_1041","18BL492","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"896","Sample_1042","18BL500","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"897","Sample_1043","18BL508","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"898","Sample_1044","18BL516","Breeding line","Johnson X Dora F4","Breeding line","16","grey"
"899","Sample_1045","18BL525","Breeding line","ItascaHaploid","Breeding line","16","grey"
"900","Sample_1046","18DV008","Breeding line","DV","Breeding line","16","grey"
"901","Sample_1047","FY-C20","Breeding line","FY-C20","Breeding line","16","grey"
"902","Sample_1048","14S-PS","Breeding line","14S-PS","Breeding line","16","grey"
"903","Sample_1049","GarfieldLake","Garfield Lake","Garfield Lake","Natural stand","16","green3"
"904","Sample_1050","Itasca-C12","Breeding line","Itasca-C12","Breeding line","16","grey"
"905","Sample_1052","NecktieLake","Necktie River","Necktie River","Natural stand","16","blue4"
"906","Sample_1053","PM3E","Breeding line","PM3E","Breeding line","16","grey"
"907","Sample_1054","UpperRiceLake","Upper Rice Lake","Upper Rice Lake","Natural stand","15","purple"
